"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 29 01:38:41 IST 2023","Sun Oct 29 01:38:48 IST 2023","7039","All Test Suite","APIAutomationATB4xRestAssrd","org.example.misc.TestFile","org.example.misc.TestFile","postRequest","postRequest",""
"passed","Sun Nov 05 18:16:50 IST 2023","Sun Nov 05 18:16:51 IST 2023","1192","All Test Suite","APIAutomationATB4xRestAssrd","org.example.curd.INT.TC_CreateBooking","org.example.curd.INT.TC_CreateBooking","testCreateBooking2_Negative","testCreateBooking2_Negative","TC2# - Verify that Create Booking with no payload"
"passed","Sun Nov 05 18:16:45 IST 2023","Sun Nov 05 18:16:50 IST 2023","5431","All Test Suite","APIAutomationATB4xRestAssrd","org.example.curd.INT.TC_CreateBooking","org.example.curd.INT.TC_CreateBooking","testCreateBooking","testCreateBooking","TC1# - Verify that Create Booking works and ID is generated"
